store_id,date,heure,transactions,chiffre_affaires
1,2023-04-27,00:00:00,0.0,0.0
1,2023-04-27,01:00:00,0.0,0.0
1,2023-04-27,02:00:00,0.0,0.0
1,2023-04-27,03:00:00,0.0,0.0
1,2023-04-27,04:00:00,0.0,0.0
1,2023-04-27,05:00:00,0.0,0.0
1,2023-04-27,06:00:00,0.0,0.0
1,2023-04-27,07:00:00,0.0,0.0
1,2023-04-27,08:00:00,0.0,0.0
1,2023-04-27,09:00:00,56.0,3478.81
1,2023-04-27,10:00:00,119.0,7844.15
1,2023-04-27,11:00:00,96.0,6008.11
1,2023-04-27,12:00:00,120.0,7132.01
1,2023-04-27,13:00:00,133.0,9165.67
1,2023-04-27,14:00:00,103.0,6709.42
1,2023-04-27,15:00:00,132.0,8808.94
1,2023-04-27,16:00:00,110.0,7025.82
1,2023-04-27,17:00:00,209.0,13592.59
1,2023-04-27,18:00:00,189.0,12221.38
1,2023-04-27,19:00:00,105.0,6327.85
1,2023-04-27,20:00:00,0.0,0.0
1,2023-04-27,21:00:00,0.0,0.0
1,2023-04-27,2200,0.0,0.0
1,2023-04-27,23:00:00,0.0,0.0
2,2023-04-27,00:00:00,0.0,0.0
2,2023-04-27,01:00:00,0.0,0.0
2,2023-04-27,02:00:00,0.0,0.0
2,2023-04-27,03:00:00,0.0,0.0
2,2023-04-27,04:00:00,0.0,0.0
2,2023-04-27,05:00:00,0.0,0.0
2,2023-04-27,06:00:00,0.0,0.0
2,2023-04-27,07:00:00,0.0,0.0
2,2023-04-27,08:00:00,0.0,0.0
2,2023-04-27,09:00:00,53.0,3294.15
2,2023-04-27,10:00:00,82.0,5162.96
2,2023-04-27,11:00:00,83.0,5333.42
2,2023-04-27,12:00:00,112.0,6959.74
2,2023-04-27,13:00:00,178.0,11308.46
2,2023-04-27,14:00:00,55.0,3441.41
2,2023-04-27,15:00:00,82.0,5113.54
2,2023-04-27,16:00:00,80.0,4483.64
2,2023-04-27,17:00:00,83.0,5474.97
2,2023-04-27,18:00:00,125.0,7986.04
2,2023-04-27,19:00:00,79.0,4758.2
2,2023-04-27,20:00:00,0.0,0.0
2,2023-04-27,21:00:00,0.0,0.0
2,2023-04-27,22:00:00,0.0,0.0
2,2023-04-27,23:00:00,0.0,0.0
3,2023-04-27,00:00:00,0.0,0.0
3,2023-04-27,01:00:00,0.0,0.0
3,2023-04-27,02:00:00,0.0,0.0
3,2023-04-27,03:00:00,0.0,0.0
3,2023-04-27,04:00:00,0.0,0.0
898,2023-04-27,05:00:00,0.0,0.0
3,2023-04-27,06:00:00,0.0,0.0
3,2023-04-27,07:00:00,0.0,0.0
3,2023-04-27,08:00:00,0.0,0.0
3,2023-04-27,09:00:00,53.0,3696.18
3,2023-04-27,10:00:00,85.0,6390.41
3,2023-04-27,11:00:00,65.0,4404.99
3,2023-04-27,12:00:00,137.0,9120.85
3,2023-04-27,13:00:00,89.0,6086.5
3,2023-04-27,14:00:00,97.0,6194.53
3,2023-04-27,15:00:00,61.0,4338.46
3,2023-04-27,16:00:00,59.0,3558.34
3,2023-04-27,17:00:00,154.0,9691.09
3,2023-04-27,18:00:00,137.0,9158.88
3,2023-04-27,19:00:00,109.0,6943.91
3,2023-04-27,20:00:00,0.0,0.0
3,2023-04-27,21:00:00,0.0,0.0
3,2023-04-27,22:00:00,0.0,0.0
3,2023-04-27,23:00:00,0.0,
4,2023-04-27,00:00:00,0.0,0.0
4,2023-04-27,01:00:00,0.0,0.0
898,2023-04-27,02:00:00,0.0,0.0
4,2023-04-27,03:00:00,0.0,0.0
4,2023-04-27,04:00:00,0.0,0.0
4,2023-04-27,05:00:00,0.0,0.0
4,2023-04-27,06:00:00,0.0,0.0
4,2023-04-27,07:00:00,0.0,0.0
4,2023-04-27,08:00:00,0.0,0.0
4,2023-04-27,09:00:00,31.0,1664.12
4,2023-04-27,10:00:00,41.0,2410.3
4,2023-04-27,11:00:00,97.0,6289.23
4,2023-04-27,12:00:00,88.0,5773.27
4,2023-04-27,13:00:00,67.0,4259.09
4,2023-04-27,14:00:00,57.0,3578.74
4,2023-04-27,15:00:00,88.0,5212.71
4,2023-04-27,16:00:00,54.0,3572.5
4,2023-04-27,17:00:00,105.0,6642.34
4,2023-04-27,18:00:00,109.0,6944.19
4,2023-04-27,19:00:00,68.0,4630.71
4,2023-04-27,20:00:00,0.0,0.0
4,2023-04-27,21:00:00,0.0,0.0
4,2023-04-27,22:00:00,0.0,0.0
4,2023-04-27,23:00:00,0.0,0.0
5,2023-04-27,00:00:00,0.0,0.0
5,2023-04-27,01:00:00,0.0,0.0
5,2023-04-27,02:00:00,0.0,0.0
5,2023-04-27,03:00:00,0.0,0.0
5,2023-04-27,04:00:00,0.0,0.0
5,2023-04-27,05:00:00,0.0,0.0
5,2023-04-27,06:00:00,0.0,0.0
5,2023-04-27,07:00:00,0.0,0.0
5,2023-04-27,08:00:00,0.0,0.0
5,2023-04-27,09:00:00,33.0,1921.21
5,2023-04-27,10:00:00,34.0,1969.28
5,2023-04-27,11:00:00,48.0,2674.76
5,2023-04-27,12:00:00,83.0,5167.58
5,2023-04-27,13:00:00,65.0,4073.44
5,2023-04-27,14:00:00,45.0,2905.5
5,2023-04-27,15:00:00,48.0,2934.25
5,2023-04-27,16:00:00,46.0,2990.45
5,2023-04-27,17:00:00,,6076.62
5,2023-04-27,18:00:00,49.0,3339.39
5,2023-04-27,19:00:00,50.0,2898.68
5,2023-04-27,20:00:00,0.0,0.0
5,2023-04-27,21:00:00,0.0,0.0
5,2023-04-27,22:00:00,0.0,0.0
5,2023-04-27,23:00:00,0.0,0.0
6,2023-04-27,00:00:00,0.0,0.0
6,2023-04-27,01:00:00,0.0,0.0
6,2023-04-27,02:00:00,0.0,0.0
6,2023-04-27,03:00:00,0.0,0.0
6,2023-04-27,04:00:00,0.0,0.0
6,2023-04-27,05:00:00,0.0,0.0
6,2023-04-27,06:00:00,0.0,0.0
6,2023-04-27,07:00:00,0.0,0.0
6,2023-04-27,08:00:00,0.0,0.0
6,2023-04-27,09:00:00,28.0,1530.51
6,2023-04-27,10:00:00,33.0,2150.68
6,2023-04-27,11:00:00,36.0,999999.99
6,2023-04-27,12:00:00,40.0,2601.62
6,2023-04-27,13:00:00,58.0,3646.36
6,2023-04-27,14:00:00,60.0,3902.53
6,2023-04-27,15:00:00,30.0,2161.66
6,2023-04-27,16:00:00,50.0,3351.17
6,2023-04-27,17:00:00,67.0,4625.02
6,2023-04-27,18:00:00,49.0,3423.9
6,2023-04-27,19:00:00,50.0,3286.81
6,2023-04-27,20:00:00,0.0,0.0
6,2023-04-27,21:00:00,0.0,0.0
6,2023-04-27,22:00:00,0.0,0.0
6,2023-04-27,23:00:00,0.0,0.0
7,2023-04-27,00:00:00,0.0,0.0
7,2023-04-27,01:00:00,0.0,0.0
7,2023-04-27,02:00:00,0.0,0.0
7,2023-04-27,03:00:00,0.0,0.0
7,2023-04-27,04:00:00,0.0,0.0
7,2023-04-27,05:00:00,0.0,0.0
7,2023-04-27,06:00:00,0.0,0.0
7,2023-04-27,07:00:00,0.0,0.0
7,2023-04-27,08:00:00,0.0,0.0
7,2023-04-27,09:00:00,37.0,2117.83
7,2023-04-27,10:00:00,51.0,3218.84
7,2023-04-27,11:00:00,67.0,4645.76
7,2023-04-27,12:00:00,79.0,5473.61
7,2023-04-27,1300,99.0,6261.14
7,2023-04-27,14:00:00,57.0,3396.77
7,2023-04-27,15:00:00,72.0,4902.3
7,2023-04-27,16:00:00,50.0,3354.87
7,2023-04-27,17:00:00,66.0,4311.15
7,2023-04-27,18:00:00,113.0,7828.33
7,2023-04-27,19:00:00,54.0,3183.63
7,2023-04-27,20:00:00,0.0,0.0
7,2023-04-27,21:00:00,0.0,0.0
7,2023-04-27,22:00:00,0.0,0.0
7,2023-04-27,23:00:00,0.0,0.0
8,2023-04-27,00:00:00,0.0,0.0
8,2023-04-27,01:00:00,0.0,0.0
8,2023-04-27,02:00:00,0.0,0.0
8,2023-04-27,03:00:00,0.0,0.0
8,2023-04-27,04:00:00,0.0,0.0
8,2023-04-27,05:00:00,0.0,0.0
8,2023-04-27,06:00:00,0.0,0.0
8,2023-04-27,07:00:00,0.0,0.0
8,2023-04-27,08:00:00,0.0,0.0
8,2023-04-27,09:00:00,20.0,1246.75
8,2023-04-27,10:00:00,,2441.64
8,2023-04-27,11:00:00,38.0,2551.27
8,2023-04-27,12:00:00,69.0,4415.05
8,2023-04-27,13:00:00,88.0,5364.37
8,2023-04-27,14:00:00,39.0,2690.41
8,2023-04-27,15:00:00,58.0,3697.9
8,2023-04-27,16:00:00,35.0,2019.54
8,2023-04-27,17:00:00,76.0,5057.68
8,2023-04-27,18:00:00,51.0,2781.84
8,2023-04-27,19:00:00,46.0,2973.9
8,2023-04-27,20:00:00,0.0,0.0
8,2023-04-27,21:00:00,0.0,0.0
8,2023-04-27,22:00:00,0.0,0.0
8,2023-04-27,23:00:00,0.0,0.0
9,2023-04-27,00:00:00,0.0,0.0
9,2023-04-27,01:00:00,0.0,0.0
9,2023-04-27,02:00:00,0.0,0.0
9,2023-04-27,03:00:00,0.0,0.0
9,2023-04-27,04:00:00,0.0,0.0
9,2023-04-27,05:00:00,0.0,0.0
9,2023-04-27,06:00:00,0.0,0.0
9,2023-04-27,07:00:00,0.0,0.0
9,2023-04-27,08:00:00,0.0,0.0
9,2023-04-27,09:00:00,38.0,2708.14
9,2023-04-27,10:00:00,35.0,2244.05
9,2023-04-27,11:00:00,35.0,2212.81
9,2023-04-27,12:00:00,40.0,2780.65
9,2023-04-27,13:00:00,51.0,3467.94
9,2023-04-27,14:00:00,42.0,2499.23
9,2023-04-27,15:00:00,55.0,3329.12
9,2023-04-27,16:00:00,36.0,2338.0
9,2023-04-27,17:00:00,89.0,6080.72
9,2023-04-27,18:00:00,60.0,4200.81
9,2023-04-27,19:00:00,89.0,5673.91
9,2023-04-27,20:00:00,0.0,0.0
9,2023-04-27,21:00:00,0.0,0.0
9,2023-04-27,22:00:00,0.0,0.0
9,2023-04-27,23:00:00,0.0,0.0
10,2023-04-27,00:00:00,0.0,0.0
10,2023-04-27,01:00:00,0.0,0.0
10,2023-04-27,02:00:00,0.0,0.0
10,2023-04-27,03:00:00,0.0,0.0
10,2023-04-27,04:00:00,0.0,0.0
941,2023-04-27,05:00:00,0.0,0.0
10,2023-04-27,06:00:00,0.0,0.0
10,2023-04-27,07:00:00,0.0,0.0
10,2023-04-27,08:00:00,0.0,0.0
10,2023-04-27,09:00:00,14.0,1047.12
10,2023-04-27,10:00:00,28.0,1660.19
10,2023-04-27,11:00:00,41.0,2674.51
10,2023-04-27,12:00:00,24.0,1748.81
10,2023-04-27,13:00:00,56.0,3394.05
10,2023-04-27,14:00:00,35.0,2399.61
10,2023-04-27,15:00:00,33.0,2251.65
10,2023-04-27,16:00:00,28.0,1785.56
10,2023-04-27,17:00:00,37.0,2482.18
10,2023-04-27,18:00:00,55.0,3047.81
10,2023-04-27,19:00:00,43.0,2713.68
10,2023-04-27,20:00:00,0.0,0.0
10,2023-04-27,21:00:00,0.0,0.0
10,2023-04-27,22:00:00,0.0,0.0
10,2023-04-27,23:00:00,0.0,0.0
1,2023-04-28,00:00:00,0.0,0.0
1,2023-04-28,01:00:00,0.0,0.0
